generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
11,740.409912109375,202.67941284179688,887.6019897460938,0.16341456137750934,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
12,721.828857421875,228.040283203125,887.6019897460938,0.16014627014995916,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
13,694.6984252929688,238.26705932617188,887.6019897460938,0.15694334474695998,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
14,719.1715087890625,227.78005981445312,887.6019897460938,0.15380447785202078,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
15,719.388916015625,245.63436889648438,887.6019897460938,0.15072838829498036,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",0.16666666666666666,0.8333333333333334,0.7,0.13333333333333333,0.35380590737856443
16,734.5502319335938,240.7660675048828,887.6019897460938,0.14771382052908075,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
17,538.9049072265625,248.14950561523438,887.6019897460938,0.14475954411849912,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
18,875.935791015625,255.0001983642578,887.6019897460938,0.14186435323612914,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
19,874.373046875,224.4938201904297,887.6019897460938,0.13902706617140656,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
20,889.3803100585938,232.38150024414062,889.3803100585938,0.13624652484797842,"[2.1935644149780273, 2.4933042526245117, 0.7225536704063416, 0.16268019378185272, 0.19769097864627838, 0.44778120517730713, 0.8008978962898254]",0.23333333333333334,0.7666666666666667,0.7666666666666667,0.0,20.04210729966392
21,903.8942260742188,285.3498229980469,903.8942260742188,0.13352159435101885,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
22,744.5167846679688,229.63027954101562,903.8942260742188,0.13085116246399847,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
23,872.8206176757812,262.20941162109375,903.8942260742188,0.1282341392147185,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
24,720.3082275390625,200.1353759765625,903.8942260742188,0.12566945643042413,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
25,735.2152709960938,243.36026000976562,903.8942260742188,0.12315606730181564,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",0.3,0.7,0.7,0.0,34.10218826690053
26,883.6895751953125,223.4502716064453,903.8942260742188,0.12069294595577933,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
27,728.2330322265625,224.142578125,903.8942260742188,0.11827908703666373,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
28,738.6716918945312,174.38833618164062,903.8942260742188,0.11591350529593046,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
29,517.7302856445312,183.4086151123047,903.8942260742188,0.11359523519001186,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
30,900.4291381835938,200.92079162597656,903.8942260742188,0.11132333048621161,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",0.3,0.7,0.6333333333333333,0.06666666666666667,27.737227885162625
31,757.6931762695312,255.1245574951172,903.8942260742188,0.10909686387648737,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
32,681.447998046875,239.08535766601562,903.8942260742188,0.10691492659895763,"[2.0934181213378906, 2.4281387329101562, 0.4547373354434967, 0.09763205796480179, 0.29450738430023193, 0.27390509843826294, 0.7953073382377625]",,,,,
