generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
28,923.0195922851562,674.673828125,939.0879516601562,0.11591350529593046,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
29,916.8403930664062,636.3504028320312,939.0879516601562,0.11359523519001186,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
30,921.4141845703125,668.7188720703125,939.0879516601562,0.11132333048621161,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.7333333333333333,0.26666666666666666,0.26666666666666666,0.0,113.44350764802768
31,914.1032104492188,675.1261596679688,939.0879516601562,0.10909686387648737,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
32,918.5633544921875,686.0065307617188,939.0879516601562,0.10691492659895763,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
33,918.4140625,680.5362548828125,939.0879516601562,0.10477662806697847,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
34,923.95703125,694.7390747070312,939.0879516601562,0.1026810955056389,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
35,920.9237060546875,655.0724487304688,939.0879516601562,0.10062747359552612,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.6333333333333333,0.36666666666666664,0.3,0.06666666666666667,89.94976088485092
36,918.5929565429688,660.2445068359375,939.0879516601562,0.0986149241236156,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
37,910.2900390625,656.609375,939.0879516601562,0.09664262564114329,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
38,931.6915893554688,615.9815063476562,939.0879516601562,0.09470977312832042,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
39,922.0736083984375,623.1639404296875,939.0879516601562,0.092815577665754,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
40,907.0864868164062,653.8545532226562,939.0879516601562,0.09095926611243892,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.7,0.3,0.23333333333333334,0.06666666666666667,103.38540194533786
41,915.7939453125,699.2060546875,939.0879516601562,0.08914008079019013,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
42,913.338134765625,676.5545654296875,939.0879516601562,0.08735727917438633,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
43,919.744873046875,654.5999755859375,939.0879516601562,0.08561013359089861,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
44,924.6759643554688,694.2105712890625,939.0879516601562,0.08389793091908064,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
45,918.8223266601562,672.1815185546875,939.0879516601562,0.08221997230069902,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.8333333333333334,0.16666666666666666,0.1,0.06666666666666667,126.85054961998462
46,916.8773193359375,665.5906372070312,939.0879516601562,0.08057557285468504,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
47,922.5797729492188,664.9622192382812,939.0879516601562,0.07896406139759134,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
48,931.8703002929688,681.1854248046875,939.0879516601562,0.07738478016963951,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
49,919.407470703125,678.2445068359375,939.0879516601562,0.07583708456624672,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
50,916.1519775390625,680.2369384765625,939.0879516601562,0.07432034287492179,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,101.39059704133743
